GLOSS	NUMBER
to go downstream	966
spring, source	967
flood	968
stone	969
earth (ground)	970
sand	971
gravel	972
iron	973
copper	974
bronze	975
silver	976
gold	977
tin	978
lead	979
sulphur	980
smith	981
smithy	982
to forge, weld	983
charcoal	984
hammer	985
anvil	986
tongs	987
cinders, glowing coals	988
to sharpen, to grind	989
grindstone	990
gift, present	991
to negotiate	992
to make peace	993
to sign a treaty	994
merchant	995
farmer	996
craftsmen	997
servant	998
follower	999
ally	1000
shop	1001
market	1002
to trade	1003
merchandise	1004
needle	1005
to sew	1006
price	1007
profit	1008
loss	1009
to buy	1010
expensive	1011
cheap	1012
debt	1013
to dun	1014
to pay	1015
to sell	1016
to borrow	1017
to lend to	1018
to exchange	1019
to offer	1020
to pawn	1021
to bargain	1022
to fill	1023
steelyard, weigh-beam	1024
a pair of scales	1025
measures and weights (length)	1026
measures and weights (mass)	1027
measures and weights (volume and capacity)	1028
ship (trading vessel)	1029
ship (warship)	1030
steamboat	1031
rowboat	1032
proa, canoe	1033
all sorts of vessels	1034
mast	1035
sail	1036
to sail	1037
rudder, helm	1038
to sail	1039
oar, paddle	1040
paddle	1041
to paddle	1042
to row, to pull	1043
outrigger	1044
thwarts	1045
stem, bows	1046
stern	1047
to take on cargo	1048
anchor	1049
raft	1050
harbour	1051
to be wrecked	1052
pirate	1053
landing-stage	1054
to disembark	1055
to sail away	1056
to capsize	1057
kidnapper	1058
to ill-treat, to mishandle	1059
to ransom	1060
great, big	1061
small	1062
long (things)	1063
long (time)	1064
short (things)	1065
short (time)	1066
big, fat	1067
thick	1068
thick	1069
thin	1070
thin, meagre, skinny	1071
fat (adj.)	1072
fat, grease (noun)	1073
greasy	1074
slim	1075
dwarf	1076
diminished in size, boiled down, shrunken	1077
to grow	1078
tame	1079
wild	1080
wary, shy, timid	1081
shy, ashamed	1082
deep (river)	1083
deep (dish)	1084
shallow (river)	1085
shallow (dish)	1086
high	1087
low	1088
straight	1089
crooked, bent	1090
curved, winding	1091
flat	1092
even	1093
smooth	1094
heavy	1095
light	1096
slanting, sloping	1097
sharp	1098
blunt	1099
pointed	1100
hard	1101
weak	1102
soft	1103
warm (persons)	1104
warm (things)	1105
cold (persons)	1106
cold (things)	1107
to shiver	1108
round, circular (as a stick)	1109
round, circular (as a dish)	1110
globular, round	1111
square	1112
broad	1113
small	1114
narrow	1115
wide	1116
strong	1117
weak	1118
brave, bold	1119
cowardly	1120
lazy	1121
diligent	1122
stingy	1123
mild, tender	1124
dry	1125
to dry in the sun	1126
wet	1127
humid	1128
rotten	1129
good	1130
bad	1131
beautiful (persons)	1132
beautiful (male)	1133
beautiful (fem.)	1134
beautiful (things)	1135
ugly (persons)	1136
ugly (male)	1137
ugly (female)	1138
ugly (things)	1139
wrong, false	1140
true, right	1141
empty	1142
full	1143
angry	1144
mad	1145
tightly bound	1146
tightly fitting	1147
loose	1148
loosely fitting	1149
old	1150
old, worn	1151
young	1152
new	1153
poor	1154
wealthy	1155
tired	1156
fast	1157
slow	1158
dumb	1159
clever	1160
sweet	1161
sour	1162
bitter	1163
astringent	1164
hot, spicy	1165
salty	1166
white	1167
black	1168
red	1169
brown	1170
yellow	1171
blue	1172
green	1173
to look for	1174
to find	1175
to give	1176
to hand, to pass	1177
to accept	1178
to take	1179
to get	1180
to take away	1181
to take along	1182
to bring	1183
to accompany	1184
to grip, to hold, to seize	1185
to lead by the hand	1186
to make, to do	1187
to prepare, to make ready	1188
to wash up (dishes, spoons, etc.)	1189
to wash (clothes)	1190
to wash (face)	1191
to wash (hair)	1192
to know	1193
to think	1194
to know	1195
to remember	1196
to have forgotten something	1197
to deny	1198
to confess	1199
to be silent	1200
to mumble	1201
to speak	1202
to sing	1203
to whisper	1204
to say	1205
to call	1206
to abuse, to scold	1207
to be able to	1208
to be allowed	1209
to work	1210
to shoulder	1211
to carry on the head	1212
to carry something hanging from the hand	1213
to carry on the hip	1214
to carry under the arm	1215
to carry in the hand	1216
to carry on the back (with strap over the shoulder or head)	1217
to carry in a sarong	1218
to carry	1219
to carry on the back	1220
to carry in front of oneself	1221
to wake, to watch	1222
to be awake	1223
to guard, to watch	1224
to spy	1225
to wait	1226
to hear	1227
to see	1228
to smell	1229
to feel	1230
to feel, to touch	1231
to taste	1232
to slurp	1233
to blow the nose	1234
to suck	1235
to kiss	1236
to sniff	1237
to love	1238
to hate	1239
jealous	1240
to approve	1241
to wish	1242
to want	1243
to want something	1244
to open	1245
to close	1246
to cut off	1247
to multiply, to add, to increase	1248
to spring, to jump	1249
to jump down	1250
to hit, to touch	1251
hit, touched	1252
to break (a stick)	1253
to break (a rope)	1254
to shatter	1255
broken (a stick)	1256
broken (rope)	1257
shattered	1258
to pinch, to squeeze	1259
to begin (tr.)	1260
to begin (intr.)	1261
to finish (tr.)	1262
to finish (intr.)	1263
to bind, to tie	1264
to hide (something to hide)	1265
to hide	1266
to ask	1267
to answer	1268
to ask for	1269
to refuse	1270
to cheat, to deceive	1271
to tell lies	1272
to steal	1273
to throw away	1274
to throw	1275
to burn (tr.)	1276
to burn (intr.)	1277
to dig	1278
to go	1279
to go there	1280
to send (out), to order, to command	1281
to send	1282
to come	1283
to arrive	1284
to be coming	1285
to depart	1286
to meet	1287
to meet one another	1288
to collect	1289
to gather, to meet	1290
to hit (to beat, to slap, etc.)	1291
to take revenge	1292
one	1293
two	1294
three	1295
four	1296
five	1297
six	1298
seven	1299
eight	1300
nine	1301
ten	1302
eleven	1303
twelve	1304
thirteen	1305
fourteen	1306
fifteen	1307
sixteen	1308
seventeen	1309
eighteen	1310
nineteen	1311
twenty	1312
twenty one	1313
twenty one, twenty two, etc.	1314
twenty five	1315
thirty	1316
fourty	1317
fifty	1318
sixty	1319
seventy	1320
eighty	1321
ninety	1322
hundred	1323
thousand	1324
ten thousand	1325
a half	1326
a quarter	1327
once	1328
twice	1329
first (in space)	1330
first (in time)	1331
second (in space)	1332
second (in time)	1333
third (in space)	1334
third (in time)	1335
the last (in space)	1336
the last (in time)	1337
how much, how many	1338
many, much	1339
few, a little	1340
finished	1341
there are	1342
there are not	1343
there is something	1344
there is nothing	1345
there is nothing left	1346
more	1347
most	1348
less	1349
all	1350
whole	1351
together	1352
alike, similar	1353
enough	1354
only, some	1355
a few, some	1356
I	1357
I myself	1358
you (sing.)	1359
you (pl.)	1360
you all (excluding those absent)	1361
you	1362
he	1363
she	1364
we (inclusive)	1365
we (exclusive)	1366
they (female)	1367
they (male)	1368
my (sing.)	1369
my (pl.)	1370
our (inclusive)	1371
our (exclusive)	1372
your (sing.)	1373
your (pl.)	1374
their (female)	1375
their (male)	1376
her	1377
his	1378
who?	1379
what?	1380
which house?	1381
which?	1382
this	1383
that	1384
that (nearby)	1385
that (faraway)	1386
overthere, yonder	1387
here	1388
there (near hearer)	1389
there	1390
which, who, that	1391
early, soon	1392
late	1393
day	1394
week	1395
the day of the week	1396
daylight	1397
light	1398
hour	1399
twenty four hours	1400
night (darkness)	1401
night (time of the night)	1402
dark	1403
dry season	1404
rainy season, wet season	1405
year	1406
