GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	CHECKED
aunt <unsp.>	289	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	4	
aunt <unsp.>	289	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	4	
aunt <unsp.>	289	2176	MATERNAL AUNT	4	
aunt <unsp.>	289	2383	AUNT OR MOTHER-IN-LAW	4	
aunt <unsp.>	289	2682	AUNT OR UNCLE	4	
aunt <unsp.>	289	1272	AUNT	4	
#>>>					
#<<<					
aunt <unsp.>	290	2691	PATERNAL AUNT (FATHER'S SISTER)	4	
aunt <unsp.>	290	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	4	
aunt <unsp.>	290	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	4	
aunt <unsp.>	290	2175	PATERNAL AUNT	4	
aunt <unsp.>	290	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	4	
aunt <unsp.>	290	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	4	
aunt <unsp.>	290	2176	MATERNAL AUNT	4	
aunt <unsp.>	290	2383	AUNT OR MOTHER-IN-LAW	4	
aunt <unsp.>	290	2682	AUNT OR UNCLE	4	
aunt <unsp.>	290	1272	AUNT	4	
#>>>					
#<<<					
aunt <unsp.>	291	2691	PATERNAL AUNT (FATHER'S SISTER)	4	
aunt <unsp.>	291	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	4	
aunt <unsp.>	291	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	4	
aunt <unsp.>	291	2175	PATERNAL AUNT	4	
aunt <unsp.>	291	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	4	
aunt <unsp.>	291	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	4	
aunt <unsp.>	291	2176	MATERNAL AUNT	4	
aunt <unsp.>	291	2383	AUNT OR MOTHER-IN-LAW	4	
